CRN,Subject,Number,Title,Section,Type,Term,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,F,Average
51495,CS,173,Discrete Structures,ADA,DIS,120138,"Fleck, Margaret M",1,3,1,4,3,3,6,3,2,2,0,0,3,0,2.45
51496,CS,173,Discrete Structures,ADB,DIS,120138,"Parthasarathy, Madhusudan",1,6,1,3,6,1,4,1,5,1,1,0,0,0,2.81
51497,CS,173,Discrete Structures,ADC,DIS,120138,"Fleck, Margaret M",2,4,4,3,7,4,0,4,0,0,1,1,0,0,3
51498,CS,173,Discrete Structures,ADD,DIS,120138,"Fleck, Margaret M",5,5,1,3,1,3,2,3,3,0,1,0,0,0,3.01
51499,CS,173,Discrete Structures,ADE,DIS,120138,"Fleck, Margaret M",1,2,5,6,3,7,1,2,0,2,0,1,1,0,2.83
60278,CS,173,Discrete Structures,ADF,DIS,120138,"Fleck, Margaret M",4,1,4,6,2,3,3,2,4,0,1,0,1,0,2.82
51500,CS,173,Discrete Structures,BDA,DIS,120138,"Fleck, Margaret M",1,3,1,3,4,2,4,3,4,2,0,0,2,0,2.47
51469,CS,173,Discrete Structures,BDB,DIS,120138,"Fleck, Margaret M",0,3,2,4,4,5,2,1,1,1,2,0,1,0,2.68
58923,CS,173,Discrete Structures,BDC,DIS,120138,"Fleck, Margaret M",1,5,2,3,4,0,3,4,4,0,0,1,2,0,2.61
59602,CS,173,Discrete Structures,BDD,DIS,120138,"Fleck, Margaret M",1,6,1,4,4,3,0,3,2,1,1,1,0,1,2.86
59603,CS,173,Discrete Structures,BDE,DIS,120138,"Fleck, Margaret M",1,4,4,4,4,1,3,3,2,0,0,1,2,2,2.75
60279,CS,173,Discrete Structures,BDF,DIS,120138,"Fleck, Margaret M",1,4,4,3,4,1,2,1,3,0,2,1,1,0,2.73
31508,CS,196,Freshman Honors,25,LCD,120138,"Angrave, Lawrence C",11,58,0,0,2,0,0,0,0,0,0,0,0,0,3.97
55186,CS,199,Undergraduate Open Seminar,LA1,LEC,120138,"Zilles, Craig",0,25,3,0,0,0,0,1,0,0,0,0,0,0,3.9
35917,CS,225,Data Structures,AL1,LEC,120138,"Heeren, Cinda",3,68,21,12,33,14,9,15,7,0,5,0,4,2,3.17
35919,CS,225,Data Structures,AL2,LEC,120138,"Heeren, Cinda",2,59,29,11,18,21,8,11,3,0,10,0,5,0,3.12
